StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
23,ME,T,4.4%,5.0%,5.3%,5.6%,5.7%,5.8%,6.3%,6.4%,5.8%,5.8%,6.7%,7.5%,8.1%,7.1%,6.3%,3.8%,2.3%,2.1%
23,ME,M,4.6%,4.8%,5.9%,5.8%,5.7%,5.8%,6.5%,6.4%,5.9%,5.8%,6.9%,7.7%,7.8%,7.0%,6.1%,3.6%,2.0%,1.7%
23,ME,F,4.3%,5.3%,4.8%,5.3%,5.6%,5.8%,6.1%,6.4%,5.7%,5.8%,6.5%,7.4%,8.4%,7.2%,6.6%,4.1%,2.6%,2.5%
24,MD,T,5.7%,6.1%,6.4%,6.3%,6.1%,6.3%,6.9%,7.1%,6.4%,6.1%,6.6%,6.7%,6.8%,5.4%,4.5%,2.8%,1.9%,1.8%
24,MD,M,5.9%,6.5%,6.7%,6.6%,6.4%,6.5%,7.0%,7.2%,6.4%,6.2%,6.6%,6.7%,6.7%,5.1%,4.2%,2.5%,1.6%,1.3%
24,MD,F,5.5%,5.7%,6.2%,6.1%,5.9%,6.1%,6.9%,6.9%,6.4%,6.1%,6.7%,6.7%,7.0%,5.6%,4.8%,3.2%,2.1%,2.2%
25,MA,T,5.0%,5.2%,5.8%,6.6%,6.8%,6.9%,7.1%,6.7%,6.1%,5.9%,6.7%,6.9%,6.9%,5.7%,4.8%,3.0%,1.9%,2.1%
25,MA,M,5.1%,5.4%,6.1%,6.8%,6.9%,7.1%,7.3%,6.9%,6.2%,5.9%,6.7%,6.9%,6.9%,5.5%,4.5%,2.7%,1.6%,1.4%
25,MA,F,4.8%,5.1%,5.4%,6.4%,6.7%,6.8%,6.9%,6.6%,6.1%,5.9%,6.6%,6.9%,6.9%,5.9%,5.0%,3.2%,2.1%,2.8%
26,MI,T,5.4%,5.8%,6.3%,6.5%,6.6%,6.5%,6.5%,6.0%,6.0%,5.7%,6.5%,6.7%,7.2%,6.1%,5.0%,3.2%,1.9%,1.9%
